torneo,categoria,grupo,posicion,jugador,dia_1,dia_2,total
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Prejuveniles,damas,1,"Ferrante Keller, María Estefanía",115,,115
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Prejuveniles,caballeros,1,"Petric, Juan Cruz",81,,81
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Prejuveniles,caballeros,2,"Kern Pascuali, Juan Daniel",92,,92
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Prejuveniles,caballeros,3,"Luján Martínez, Benjamín",98,,98
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Prejuveniles,caballeros,4,"Garrone, Federico Daniel",104,,104
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Juveniles,caballeros,1,"Liberatori, Augusto",83,,83
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Juveniles,caballeros,2,"Vega, Ramón Emanuel",86,,86
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Juveniles,damas,1,"Martínez, Valentina",84,,84
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Sub23,caballeros,1,"Suárez, Fermín Irú",78,,78
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Sub23,caballeros,2,"Rodriguez, Santiago",83,,83
"####1er Torneo Federativo - C.A.E. - Sub 23, Prejuveniles y sub 23 (28 de Febrero y 1 de Marzo) - Juniors (Domingo 1 de Marzo)",Sub23,caballeros,3,"Minigutti, Ignacio",100,,100
